bike_name,price,city,kms_driven,owner,age,power,brand
401,35000.0,6,17654.0,0,3.0,110.0,19
295,119900.0,118,11000.0,0,4.0,350.0,17
411,600000.0,118,110.0,0,8.0,675.0,20
375,65000.0,44,16329.0,0,4.0,180.0,19
426,80000.0,44,10000.0,0,3.0,150.0,21
437,53499.0,118,25000.0,0,6.0,150.0,21
189,85000.0,118,8200.0,0,3.0,160.0,6
168,45000.0,118,12645.0,0,3.0,100.0,5
326,145000.0,44,9190.0,0,3.0,350.0,17
304,88000.0,118,19000.0,2,7.0,500.0,17
464,72000.0,44,20000.0,0,7.0,150.0,21
432,95000.0,44,9665.0,0,4.0,250.0,21
72,78000.0,44,9900.0,0,4.0,200.0,1
27,29499.0,118,20000.0,0,8.0,100.0,1
31,29900.0,118,20000.0,0,7.0,125.0,1
73,90000.0,44,11574.0,0,3.0,200.0,1
76,120000.0,44,23000.0,0,3.0,200.0,1
339,48000.0,282,24725.0,0,5.0,150.0,18
84,240000.0,282,15025.0,2,3.0,302.0,2
31,29900.0,118,20000.0,0,7.0,125.0,1
76,120000.0,44,23000.0,0,3.0,200.0,1
339,48000.0,282,24725.0,0,5.0,150.0,18
173,46500.0,118,3500.0,0,2.0,110.0,5
302,121700.0,218,24520.0,0,5.0,500.0,17
429,45000.0,118,23000.0,0,6.0,150.0,21
72,78000.0,44,9900.0,0,4.0,200.0,1
176,20000.0,6,29305.0,0,16.0,125.0,5
214,20800.0,140,30500.0,2,7.0,125.0,6
56,50000.0,44,19000.0,0,8.0,150.0,1
235,81200.0,273,9100.0,0,2.0,160.0,6
72,88000.0,185,21914.0,0,3.0,200.0,1
464,80000.0,217,20000.0,2,4.0,150.0,21
9,40900.0,167,15000.0,0,6.0,220.0,1
257,180000.0,330,17700.0,0,4.0,390.0,11
208,40000.0,308,30000.0,0,8.0,150.0,6
249,70000.0,300,100000.0,2,8.0,200.0,11
295,98800.0,240,39000.0,0,5.0,350.0,17
215,65000.0,14,43000.0,0,6.0,150.0,6
328,190500.0,359,4550.0,0,2.0,500.0,17
